purpose_text,transaction_type
rent December bill,rent
Adobe subscription invoice,subscription
hotel Riga invoice,travel
misc expense fee,other
tickets invoice,entertainment
train London payment,travel
RENT DECEMBER PAYMENT,rent
RENT FEBRUARY INVOICE,rent
RENT FEBRUARY BILL,rent
misc expense transfer 222.07 EUR,other
tickets invoice 37.70 EUR,entertainment
TICKETS FEE 258.94 EUR,entertainment
GENERAL EXPENSE FEE,other
tickets fee 263.25 EUR,entertainment
Google One subscription payment,subscription
rent July transfer 177.62 EUR,rent
RENT SEPTEMBER BILL,rent
SELVER GROCERIES PAYMENT 147.15 EUR,groceries
Electricity UtilityCo bill December,utilities
Water Telia bill October,utilities
Hulu subscription bill,subscription
Spotify subscription payment 162.65 EUR,subscription
museum payment 73.09 EUR,entertainment
selver groceries payment 295.23 EUR,groceries
WOLT MARKET GROCERIES BILL,groceries
Amazon Prime subscription invoice 265.74 EUR,subscription
Adobe subscription bill 53.58 EUR,subscription
Mobile Enefit bill January,utilities
Electricity UtilityCo bill September,utilities
MISC EXPENSE INVOICE 190.32 EUR,other
rent July fee 289.62 EUR,rent
###,other
concert bill 21.78 EUR,entertainment
rent April bill,rent
taxi Paris transfer,travel
Water Elisa bill October 24.16 EUR,utilities
GOOGLE ONE SUBSCRIPTION PAYMENT 197.53 EUR,subscription
Microsoft 365 subscription payment,subscription
Adobe subscription transfer,subscription
flight New York fee,travel
Gas Telia bill July,utilities
restaurant transfer 250.65 EUR,entertainment
rent November transfer,rent
taxi Riga transfer,travel
hotel Tokyo fee 175.27 EUR,travel
rent May bill 38.86 EUR,rent
Heating UtilityCo bill June 288.15 EUR,utilities
Water Elisa bill January 245.17 EUR,utilities
Internet CityWater bill July,utilities
misc expense transfer 124.78 EUR,other
###,utilities
unexpected expense bill 18.25 EUR,other
Google One subscription fee 219.22 EUR,subscription
RENT MAY TRANSFER,rent
concert fee 39.01 EUR,entertainment
,entertainment
rimi groceries payment 94.36 EUR,groceries
rent October payment 67.08 EUR,rent
tickets bill 164.13 EUR,entertainment
GENERAL EXPENSE TRANSFER 4.13 EUR,other
Gas Enefit bill May,utilities
Apple subscription transfer 48.90 EUR,subscription
coop groceries transfer,groceries
,utilities
rent September payment 279.53 EUR,rent
selver groceries payment 7.67 EUR,groceries
taxi Tallinn payment,travel
N/A,groceries
train London invoice,travel
museum bill 13.89 EUR,entertainment
SPOTIFY SUBSCRIPTION FEE 84.27 EUR,subscription
YouTube subscription payment 271.02 EUR,subscription
taxi Tallinn invoice,travel
rent September invoice,rent
general expense invoice 184.73 EUR,other
Spotify subscription fee,subscription
DISNEY+ SUBSCRIPTION INVOICE,subscription
@@@,utilities
Water Enefit bill February 188.76 EUR,utilities
general expense transfer,other
,utilities
train New York payment,travel
12345,other
train Tartu transfer,travel
taxi Tokyo payment 7.12 EUR,travel
local market groceries payment 71.61 EUR,groceries
rent December payment 112.17 EUR,rent
Heating Enefit bill September 37.90 EUR,utilities
rent October payment 165.65 EUR,rent
tickets transfer,entertainment
Adobe subscription invoice 81.14 EUR,subscription
Adobe subscription payment,subscription
,entertainment
Disney+ subscription fee,subscription
Internet Telia bill January,utilities
rent February transfer 147.24 EUR,rent
NETFLIX SUBSCRIPTION PAYMENT,subscription
restaurant transfer,entertainment
Mobile Enefit bill December,utilities
coop groceries payment,groceries
Internet Elisa bill August,utilities
Internet UtilityCo bill September,utilities
taxi Tartu transfer 208.11 EUR,travel
rent October bill 198.05 EUR,rent
###,rent
train Tokyo invoice 205.75 EUR,travel
rent February bill,rent
Google One subscription fee 16.27 EUR,subscription
rent November payment,rent
taxi Berlin invoice,travel
,other
museum fee 88.57 EUR,entertainment
flight Boston payment 44.10 EUR,travel
FLIGHT LONDON TRANSFER,travel
@@@,entertainment
Water Enefit bill December,utilities
hotel London bill,travel
maxima groceries bill,groceries
Amazon Prime subscription bill,subscription
general expense bill 226.41 EUR,other
Mobile Enefit bill January 235.82 EUR,utilities
hotel Boston payment,travel
MOBILE UTILITYCO BILL OCTOBER,utilities
rent March invoice,rent
N/A,other
Google One subscription fee 130.15 EUR,subscription
,other
taxi Berlin transfer,travel
!!!,utilities
Heating Telia bill February,utilities
flight London invoice 119.03 EUR,travel
rent October fee 126.72 EUR,rent
train Helsinki transfer 62.42 EUR,travel
Internet CityWater bill May,utilities
selver groceries invoice,groceries
rent April fee 69.78 EUR,rent
museum invoice 215.34 EUR,entertainment
Mobile Enefit bill August,utilities
UNEXPECTED EXPENSE FEE,other
!!!,subscription
MICROSOFT 365 SUBSCRIPTION TRANSFER,subscription
wolt market groceries payment,groceries
hotel Tartu fee,travel
coop groceries transfer 85.16 EUR,groceries
wolt market groceries transfer 187.00 EUR,groceries
UNEXPECTED EXPENSE BILL,other
Water Enefit bill July,utilities
Electricity Telia bill May 223.29 EUR,utilities
general expense fee 299.62 EUR,other
taxi Boston fee,travel
Electricity Enefit bill March,utilities
unexpected expense invoice 29.75 EUR,other
flight Berlin bill 111.88 EUR,travel
Electricity Elisa bill June,utilities
Mobile CityWater bill April,utilities
Netflix subscription bill,subscription
general expense bill 153.68 EUR,other
Apple subscription fee 36.69 EUR,subscription
Electricity Telia bill October,utilities
misc expense transfer 237.63 EUR,other
local market groceries fee,groceries
12345,groceries
MISC EXPENSE BILL 208.14 EUR,other
bolt market groceries transfer,groceries
,groceries
YouTube subscription invoice 289.35 EUR,subscription
tickets fee 247.68 EUR,entertainment
rent August invoice 26.99 EUR,rent
flight Berlin payment,travel
UNKNOWN,subscription
SPOTIFY SUBSCRIPTION FEE,subscription
Heating UtilityCo bill July,utilities
train Tokyo transfer,travel
Gas Telia bill November,utilities
selver groceries fee,groceries
cinema invoice 246.00 EUR,entertainment
WATER ELISA BILL JUNE,utilities
Microsoft 365 subscription fee,subscription
ELECTRICITY ELISA BILL MAY,utilities
concert invoice,entertainment
RESTAURANT BILL,entertainment
general expense payment 58.66 EUR,other
bolt market groceries invoice,groceries
Mobile Elisa bill December 125.92 EUR,utilities
flight New York invoice,travel
Electricity Elisa bill December 38.10 EUR,utilities
Google One subscription invoice 136.51 EUR,subscription
Mobile Enefit bill June 198.22 EUR,utilities
general expense bill 256.20 EUR,other
rent March bill 86.34 EUR,rent
Microsoft 365 subscription payment 105.76 EUR,subscription
Electricity Telia bill May 52.98 EUR,utilities
restaurant invoice,entertainment
unexpected expense invoice,other
maxima groceries payment,groceries
prisma groceries payment,groceries
Internet CityWater bill January,utilities
LIDL GROCERIES FEE,groceries
hotel Paris fee 234.99 EUR,travel
aldi groceries transfer 74.89 EUR,groceries
train Paris invoice,travel
Spotify subscription payment 278.06 EUR,subscription
aldi groceries bill,groceries
,subscription
concert payment 211.70 EUR,entertainment
rent December bill 285.72 EUR,rent
flight Helsinki invoice,travel
train Paris fee 36.73 EUR,travel
flight Tokyo transfer,travel
Gas Telia bill February,utilities
online store groceries bill,groceries
Electricity Enefit bill May 126.30 EUR,utilities
bolt market groceries transfer 259.00 EUR,groceries
Heating Enefit bill March,utilities
BOLT MARKET GROCERIES INVOICE,groceries
Electricity UtilityCo bill November,utilities
train New York fee,travel
Gas Elisa bill July,utilities
,rent
rent August invoice,rent
CONCERT BILL,entertainment
general expense transfer 139.69 EUR,other
Mobile Telia bill May,utilities
selver groceries fee 138.24 EUR,groceries
hotel Paris bill,travel
concert fee,entertainment
aldi groceries fee,groceries
Mobile Enefit bill February,utilities
train Boston payment 136.47 EUR,travel
hotel London transfer,travel
@@@,travel
YOUTUBE SUBSCRIPTION FEE,subscription
taxi Tallinn invoice 32.29 EUR,travel
Water Enefit bill February,utilities
Heating Telia bill December,utilities
cinema transfer 167.33 EUR,entertainment
taxi Tokyo transfer 71.32 EUR,travel
Microsoft 365 subscription fee 298.37 EUR,subscription
Gas CityWater bill October,utilities
selver groceries transfer,groceries
restaurant bill 197.40 EUR,entertainment
rent January fee 73.69 EUR,rent
museum transfer 252.94 EUR,entertainment
bolt market groceries bill 277.07 EUR,groceries
MICROSOFT 365 SUBSCRIPTION INVOICE,subscription
FLIGHT BOSTON INVOICE 140.12 EUR,travel
,utilities
rent August payment 290.05 EUR,rent
rent July payment 177.89 EUR,rent
cinema invoice 175.85 EUR,entertainment
Adobe subscription payment 299.83 EUR,subscription
YouTube subscription invoice,subscription
###,utilities
RENT JUNE BILL,rent
rent December transfer,rent
train New York invoice,travel
online store groceries fee,groceries
Mobile CityWater bill October 92.62 EUR,utilities
Netflix subscription transfer 173.33 EUR,subscription
restaurant payment 156.36 EUR,entertainment
restaurant fee,entertainment
INTERNET CITYWATER BILL NOVEMBER,utilities
,utilities
,subscription
rent August payment,rent
Amazon Prime subscription transfer,subscription
Water UtilityCo bill May 180.18 EUR,utilities
Heating Enefit bill February,utilities
RENT MAY INVOICE,rent
unexpected expense bill 289.98 EUR,other
rent January transfer,rent
Gas Enefit bill September,utilities
Mobile UtilityCo bill July,utilities
,travel
ADOBE SUBSCRIPTION FEE,subscription
LOCAL MARKET GROCERIES FEE,groceries
Netflix subscription payment,subscription
Internet Elisa bill March,utilities
train Tartu transfer 235.11 EUR,travel
TICKETS TRANSFER,entertainment
prisma groceries bill,groceries
flight Riga fee,travel
YOUTUBE SUBSCRIPTION INVOICE,subscription
rent July payment,rent
Disney+ subscription fee 219.29 EUR,subscription
Internet CityWater bill November 133.64 EUR,utilities
flight Riga transfer 213.16 EUR,travel
rent February fee 59.43 EUR,rent
taxi Berlin payment,travel
rent January fee 47.41 EUR,rent
ELECTRICITY ELISA BILL APRIL,utilities
local market groceries transfer 200.07 EUR,groceries
CONCERT FEE,entertainment
aldi groceries invoice,groceries
lidl groceries payment,groceries
cinema bill 245.13 EUR,entertainment
rent July transfer,rent
Heating UtilityCo bill March,utilities
rent March bill,rent
LOCAL MARKET GROCERIES BILL 172.36 EUR,groceries
TICKETS INVOICE 205.18 EUR,entertainment
,utilities
RENT NOVEMBER PAYMENT,rent
flight London payment,travel
concert payment,entertainment
Heating Elisa bill February 196.52 EUR,utilities
Heating CityWater bill July,utilities
YouTube subscription bill,subscription
Gas Enefit bill July,utilities
ONLINE STORE GROCERIES TRANSFER 107.41 EUR,groceries
,subscription
unexpected expense bill 284.93 EUR,other
YouTube subscription fee,subscription
ALDI GROCERIES BILL,groceries
RENT JANUARY BILL 129.20 EUR,rent
Amazon Prime subscription transfer 83.47 EUR,subscription
Electricity Telia bill February,utilities
Adobe subscription bill,subscription
hotel Tokyo fee 17.74 EUR,travel
misc expense transfer 224.87 EUR,other
cinema payment,entertainment
unexpected expense transfer 46.49 EUR,other
Microsoft 365 subscription bill,subscription
misc expense invoice 111.20 EUR,other
HOTEL TALLINN INVOICE,travel
rent June fee 66.62 EUR,rent
Gas Elisa bill April,utilities
Gas CityWater bill November,utilities
hotel Riga fee,travel
Gas CityWater bill October 203.06 EUR,utilities
taxi Riga invoice,travel
rent March invoice 215.91 EUR,rent
Gas Elisa bill October,utilities
Gas Elisa bill March,utilities
Gas CityWater bill September 276.86 EUR,utilities
rimi groceries transfer 75.94 EUR,groceries
RENT SEPTEMBER PAYMENT,rent
Gas Enefit bill March,utilities
rent March fee,rent
!!!,rent
Internet Telia bill May,utilities
unexpected expense payment,other
tickets payment 89.07 EUR,entertainment
Netflix subscription bill 267.85 EUR,subscription
Mobile CityWater bill September,utilities
wolt market groceries fee 120.55 EUR,groceries
rent June payment,rent
aldi groceries payment,groceries
hotel Helsinki transfer,travel
rent April fee 89.76 EUR,rent
!!!,other
concert bill,entertainment
spar groceries fee,groceries
Water CityWater bill September,utilities
flight Berlin transfer 79.70 EUR,travel
general expense transfer 125.00 EUR,other
local market groceries invoice,groceries
Disney+ subscription transfer,subscription
LIDL GROCERIES PAYMENT,groceries
Gas Telia bill January,utilities
rent December invoice,rent
RENT FEBRUARY FEE,rent
HEATING CITYWATER BILL SEPTEMBER,utilities
rimi groceries invoice,groceries
lidl groceries invoice,groceries
unexpected expense fee,other
online store groceries fee 81.53 EUR,groceries
aldi groceries fee 58.98 EUR,groceries
rent April fee,rent
hotel Helsinki fee,travel
misc expense transfer 275.47 EUR,other
,subscription
misc expense fee 10.63 EUR,other
rent June transfer,rent
hotel Paris invoice,travel
AMAZON PRIME SUBSCRIPTION PAYMENT 98.82 EUR,subscription
flight Tokyo transfer 261.92 EUR,travel
unexpected expense fee 91.96 EUR,other
RENT JULY FEE,rent
rent February invoice,rent
CINEMA INVOICE 132.44 EUR,entertainment
rent February transfer,rent
Electricity Enefit bill May,utilities
wolt market groceries invoice,groceries
Mobile CityWater bill December,utilities
Mobile CityWater bill December 88.43 EUR,utilities
train Helsinki invoice,travel
general expense invoice,other
Gas UtilityCo bill November 193.26 EUR,utilities
unexpected expense bill 202.13 EUR,other
Gas UtilityCo bill December,utilities
INTERNET UTILITYCO BILL DECEMBER,utilities
MISC EXPENSE TRANSFER 32.97 EUR,other
Apple subscription fee,subscription
Gas Telia bill August 202.20 EUR,utilities
general expense payment 31.72 EUR,other
MUSEUM INVOICE,entertainment
Google One subscription invoice 216.77 EUR,subscription
GENERAL EXPENSE TRANSFER 112.72 EUR,other
selver groceries bill,groceries
spar groceries payment,groceries
!!!,entertainment
Apple subscription bill 190.37 EUR,subscription
Netflix subscription transfer,subscription
rent March payment,rent
Spotify subscription fee 74.42 EUR,subscription
train Tallinn payment 69.33 EUR,travel
flight Tartu transfer,travel
rent July bill,rent
tickets bill,entertainment
Spotify subscription payment 144.70 EUR,subscription
RESTAURANT FEE,entertainment
rent November invoice,rent
misc expense transfer,other
rent February bill 197.95 EUR,rent
rent March transfer,rent
Water Telia bill June 247.12 EUR,utilities
hotel Berlin payment,travel
Amazon Prime subscription payment,subscription
museum fee 195.13 EUR,entertainment
rent September payment 46.16 EUR,rent
MOBILE ENEFIT BILL DECEMBER,utilities
general expense transfer 287.87 EUR,other
train Berlin bill 198.64 EUR,travel
,travel
Hulu subscription transfer,subscription
museum payment 129.14 EUR,entertainment
Disney+ subscription payment 192.34 EUR,subscription
flight Paris transfer,travel
taxi Paris bill 144.33 EUR,travel
rent April payment,rent
Electricity Elisa bill April,utilities
MUSEUM FEE 72.45 EUR,entertainment
UNEXPECTED EXPENSE FEE 151.83 EUR,other
rent February invoice 57.12 EUR,rent
GENERAL EXPENSE INVOICE,other
,rent
maxima groceries transfer,groceries
train Riga fee,travel
concert transfer 236.13 EUR,entertainment
Mobile Elisa bill October,utilities
Electricity Telia bill May 267.40 EUR,utilities
rent October payment,rent
Microsoft 365 subscription transfer,subscription
SPOTIFY SUBSCRIPTION PAYMENT,subscription
Spotify subscription bill,subscription
museum invoice,entertainment
unexpected expense invoice 47.14 EUR,other
Spotify subscription transfer 244.70 EUR,subscription
N/A,groceries
rent February invoice 25.58 EUR,rent
flight Helsinki fee,travel
flight Berlin invoice 180.03 EUR,travel
unexpected expense transfer 148.78 EUR,other
Disney+ subscription invoice 248.90 EUR,subscription
general expense bill,other
hotel Tartu bill,travel
taxi Riga bill,travel
general expense invoice 113.05 EUR,other
train Tartu bill 116.34 EUR,travel
coop groceries bill,groceries
N/A,other
rent January payment,rent
Electricity Elisa bill March 99.86 EUR,utilities
tickets invoice 29.62 EUR,entertainment
bolt market groceries payment,groceries
train Helsinki payment,travel
UNKNOWN,other
hotel Tartu payment 284.04 EUR,travel
general expense bill 200.66 EUR,other
rent September payment 270.68 EUR,rent
concert fee 128.91 EUR,entertainment
Apple subscription bill,subscription
tickets invoice 160.24 EUR,entertainment
online store groceries payment,groceries
Amazon Prime subscription fee 58.58 EUR,subscription
local market groceries transfer,groceries
HEATING ELISA BILL AUGUST,utilities
train Tallinn invoice 200.28 EUR,travel
tickets fee,entertainment
WATER TELIA BILL OCTOBER,utilities
hotel Berlin invoice,travel
YouTube subscription payment 218.68 EUR,subscription
museum fee 152.04 EUR,entertainment
spar groceries bill,groceries
taxi Riga fee 120.19 EUR,travel
general expense payment,other
misc expense invoice,other
MOBILE ELISA BILL SEPTEMBER,utilities
Mobile UtilityCo bill September,utilities
,utilities
selver groceries bill 3.79 EUR,groceries
concert transfer,entertainment
Mobile Enefit bill September,utilities
Apple subscription payment 65.59 EUR,subscription
Disney+ subscription fee 219.46 EUR,subscription
Disney+ subscription transfer 42.08 EUR,subscription
,subscription
Heating UtilityCo bill August,utilities
rent February fee,rent
RENT APRIL TRANSFER,rent
hotel Tallinn fee,travel
Heating UtilityCo bill January,utilities
taxi Riga fee,travel
rent May invoice,rent
@@@,utilities
,rent
N/A,subscription
Water UtilityCo bill August,utilities
NETFLIX SUBSCRIPTION TRANSFER,subscription
Internet Telia bill June,utilities
museum bill 202.49 EUR,entertainment
flight Tokyo bill 227.61 EUR,travel
,travel
RIMI GROCERIES FEE 171.47 EUR,groceries
RIMI GROCERIES INVOICE,groceries
hotel Berlin invoice 76.22 EUR,travel
,other
flight New York bill,travel
WATER UTILITYCO BILL JULY,utilities
selver groceries transfer 261.64 EUR,groceries
online store groceries bill 280.89 EUR,groceries
Water CityWater bill February,utilities
Apple subscription transfer 202.48 EUR,subscription
taxi London invoice,travel
DISNEY+ SUBSCRIPTION FEE 234.40 EUR,subscription
unexpected expense payment 194.44 EUR,other
lidl groceries transfer,groceries
cinema bill 218.98 EUR,entertainment
rent December invoice 62.87 EUR,rent
Hulu subscription bill 159.14 EUR,subscription
WOLT MARKET GROCERIES FEE,groceries
Heating Enefit bill April 292.34 EUR,utilities
@@@,other
flight New York fee 44.44 EUR,travel
museum fee,entertainment
rent November invoice 158.74 EUR,rent
rent July fee,rent
local market groceries bill,groceries
Internet UtilityCo bill July 128.49 EUR,utilities
flight Berlin invoice 30.83 EUR,travel
restaurant payment,entertainment
rent August bill,rent
UNKNOWN,utilities
rent May bill,rent
,groceries
###,entertainment
GENERAL EXPENSE PAYMENT,other
unexpected expense transfer 9.82 EUR,other
online store groceries bill 116.08 EUR,groceries
Hulu subscription bill 272.99 EUR,subscription
selver groceries bill 27.23 EUR,groceries
Heating UtilityCo bill October,utilities
,subscription
Heating CityWater bill August,utilities
,groceries
YouTube subscription transfer 193.75 EUR,subscription
rent January fee 290.63 EUR,rent
concert transfer 223.04 EUR,entertainment
Google One subscription invoice,subscription
flight Berlin fee 243.08 EUR,travel
wolt market groceries bill,groceries
taxi Tallinn fee,travel
Apple subscription transfer,subscription
misc expense bill 138.70 EUR,other
Gas Elisa bill May,utilities
rent May transfer,rent
Mobile UtilityCo bill May 143.53 EUR,utilities
misc expense payment 146.82 EUR,other
,subscription
CONCERT INVOICE,entertainment
general expense payment 18.58 EUR,other
cinema transfer,entertainment
rimi groceries fee,groceries
Internet CityWater bill October,utilities
hotel Boston bill,travel
hotel New York bill,travel
unexpected expense transfer 24.89 EUR,other
Internet UtilityCo bill January,utilities
,rent
Heating CityWater bill September,utilities
RENT OCTOBER FEE,rent
misc expense fee 184.97 EUR,other
rent November bill,rent
Electricity Enefit bill August 62.33 EUR,utilities
rent October invoice,rent
HEATING UTILITYCO BILL MARCH,utilities
train Boston transfer,travel
concert invoice 229.99 EUR,entertainment
MISC EXPENSE INVOICE,other
rent December bill 127.69 EUR,rent
Heating Elisa bill February 187.48 EUR,utilities
!!!,entertainment
taxi Berlin bill 34.77 EUR,travel
taxi Tallinn invoice 261.40 EUR,travel
misc expense bill,other
Amazon Prime subscription transfer 170.30 EUR,subscription
Mobile Enefit bill March,utilities
hotel Boston fee,travel
unexpected expense invoice 261.85 EUR,other
train Riga transfer,travel
Hulu subscription invoice,subscription
prisma groceries fee,groceries
Netflix subscription payment 44.26 EUR,subscription
rent June fee 74.54 EUR,rent
hotel New York invoice,travel
Gas UtilityCo bill May,utilities
bolt market groceries bill 180.48 EUR,groceries
wolt market groceries fee,groceries
concert transfer 90.65 EUR,entertainment
train Helsinki invoice 151.70 EUR,travel
Internet UtilityCo bill March,utilities
Google One subscription transfer,subscription
train Helsinki payment 289.71 EUR,travel
MOBILE UTILITYCO BILL JULY 37.70 EUR,utilities
Electricity CityWater bill February,utilities
@@@,subscription
###,rent
ADOBE SUBSCRIPTION INVOICE,subscription
train Boston payment,travel
Heating Elisa bill January,utilities
tickets payment,entertainment
unexpected expense bill,other
Microsoft 365 subscription invoice,subscription
hotel Tokyo invoice,travel
general expense invoice 92.94 EUR,other
rent May invoice 226.87 EUR,rent
flight Riga invoice,travel
cinema bill,entertainment
Mobile Enefit bill April,utilities
RENT AUGUST PAYMENT,rent
flight London fee 214.21 EUR,travel
12345,groceries
,utilities
Mobile Enefit bill August 296.54 EUR,utilities
Water UtilityCo bill June,utilities
,travel
DISNEY+ SUBSCRIPTION FEE,subscription
aldi groceries transfer,groceries
rent March fee 97.11 EUR,rent
lidl groceries fee 163.73 EUR,groceries
unexpected expense transfer,other
RIMI GROCERIES FEE 282.86 EUR,groceries
train Berlin bill,travel
rent July payment 119.40 EUR,rent
###,rent
UNKNOWN,travel
GOOGLE ONE SUBSCRIPTION PAYMENT 41.98 EUR,subscription
CONCERT BILL 259.54 EUR,entertainment
UNEXPECTED EXPENSE PAYMENT,other
Spotify subscription invoice,subscription
Mobile Telia bill December,utilities
Water Elisa bill October,utilities
train London transfer,travel
local market groceries invoice 16.99 EUR,groceries
general expense payment 218.97 EUR,other
flight Boston invoice,travel
rent October fee,rent
rent August bill 185.69 EUR,rent
Gas Enefit bill April,utilities
taxi Tallinn bill,travel
rent February bill 81.76 EUR,rent
GAS TELIA BILL JUNE 208.59 EUR,utilities
Amazon Prime subscription payment 158.25 EUR,subscription
hotel Riga transfer,travel
Disney+ subscription payment,subscription
train Tartu invoice,travel
hotel Boston transfer,travel
###,utilities
train Riga bill,travel
train Tokyo payment,travel
Internet Elisa bill June,utilities
taxi Tokyo fee 220.69 EUR,travel
flight Paris invoice,travel
spar groceries transfer 55.02 EUR,groceries
,rent
@@@,subscription
INTERNET ENEFIT BILL JULY,utilities
,groceries
Mobile UtilityCo bill October 114.05 EUR,utilities
general expense invoice 69.47 EUR,other
spar groceries invoice 116.27 EUR,groceries
flight Boston invoice 241.82 EUR,travel
Google One subscription invoice 13.29 EUR,subscription
WOLT MARKET GROCERIES INVOICE,groceries
online store groceries invoice 149.14 EUR,groceries
,rent
tickets payment 252.34 EUR,entertainment
unexpected expense invoice 91.12 EUR,other
HOTEL HELSINKI BILL,travel
N/A,groceries
prisma groceries payment 208.95 EUR,groceries
Adobe subscription fee,subscription
train Helsinki fee,travel
UNKNOWN,utilities
taxi London fee 17.74 EUR,travel
Heating UtilityCo bill September 62.07 EUR,utilities
flight London payment 149.59 EUR,travel
rent December transfer 292.64 EUR,rent
Netflix subscription bill 254.96 EUR,subscription
tickets transfer 256.78 EUR,entertainment
YouTube subscription invoice 133.73 EUR,subscription
Internet Enefit bill September,utilities
,travel
