purpose_text,transaction_type,tokens
train tallinn bill eur,travel,"['train', 'tallinn', 'bill', 'eu', '##r']"
apple subscription fee eur,subscription,"['apple', 'subscription', 'fee', 'eu', '##r']"
mobile enefit bill july,utilities,"['mobile', 'en', '##ef', '##it', 'bill', 'july']"
internet elisa bill february,utilities,"['internet', 'elisa', 'bill', 'february']"
rent january bill,rent,"['rent', 'january', 'bill']"
tickets payment eur,entertainment,"['tickets', 'payment', 'eu', '##r']"
rent august bill eur,rent,"['rent', 'august', 'bill', 'eu', '##r']"
hotel berlin bill,travel,"['hotel', 'berlin', 'bill']"
water enefit bill may,utilities,"['water', 'en', '##ef', '##it', 'bill', 'may']"
taxi london fee eur,travel,"['taxi', 'london', 'fee', 'eu', '##r']"
bolt market groceries transfer eur,groceries,"['bolt', 'market', 'groceries', 'transfer', 'eu', '##r']"
wolt market groceries fee eur,groceries,"['wo', '##lt', 'market', 'groceries', 'fee', 'eu', '##r']"
rent june bill,rent,"['rent', 'june', 'bill']"
coop groceries invoice,groceries,"['coop', 'groceries', 'in', '##vo', '##ice']"
rent january transfer eur,rent,"['rent', 'january', 'transfer', 'eu', '##r']"
unknown,utilities,['unknown']
rent august bill eur,rent,"['rent', 'august', 'bill', 'eu', '##r']"
misc expense fee eur,other,"['mis', '##c', 'expense', 'fee', 'eu', '##r']"
flight berlin invoice,travel,"['flight', 'berlin', 'in', '##vo', '##ice']"
mobile utilityco bill may,utilities,"['mobile', 'utility', '##co', 'bill', 'may']"
gas utilityco bill may eur,utilities,"['gas', 'utility', '##co', 'bill', 'may', 'eu', '##r']"
train tokyo invoice,travel,"['train', 'tokyo', 'in', '##vo', '##ice']"
electricity citywater bill november,utilities,"['electricity', 'city', '##water', 'bill', 'november']"
water citywater bill september eur,utilities,"['water', 'city', '##water', 'bill', 'september', 'eu', '##r']"
rent november payment eur,rent,"['rent', 'november', 'payment', 'eu', '##r']"
rent june fee,rent,"['rent', 'june', 'fee']"
bolt market groceries fee eur,groceries,"['bolt', 'market', 'groceries', 'fee', 'eu', '##r']"
rent november fee,rent,"['rent', 'november', 'fee']"
concert invoice eur,entertainment,"['concert', 'in', '##vo', '##ice', 'eu', '##r']"
unknown,travel,['unknown']
spotify subscription transfer,subscription,"['spot', '##ify', 'subscription', 'transfer']"
google one subscription transfer eur,subscription,"['google', 'one', 'subscription', 'transfer', 'eu', '##r']"
flight berlin transfer,travel,"['flight', 'berlin', 'transfer']"
unknown,subscription,['unknown']
aldi groceries transfer eur,groceries,"['al', '##di', 'groceries', 'transfer', 'eu', '##r']"
tickets payment eur,entertainment,"['tickets', 'payment', 'eu', '##r']"
internet telia bill april,utilities,"['internet', 'tel', '##ia', 'bill', 'april']"
cinema fee eur,entertainment,"['cinema', 'fee', 'eu', '##r']"
spar groceries invoice,groceries,"['spa', '##r', 'groceries', 'in', '##vo', '##ice']"
water citywater bill november,utilities,"['water', 'city', '##water', 'bill', 'november']"
netflix subscription fee,subscription,"['netflix', 'subscription', 'fee']"
electricity utilityco bill july eur,utilities,"['electricity', 'utility', '##co', 'bill', 'july', 'eu', '##r']"
taxi helsinki transfer,travel,"['taxi', 'helsinki', 'transfer']"
,entertainment,[]
heating enefit bill february,utilities,"['heating', 'en', '##ef', '##it', 'bill', 'february']"
train helsinki transfer,travel,"['train', 'helsinki', 'transfer']"
water enefit bill january,utilities,"['water', 'en', '##ef', '##it', 'bill', 'january']"
unknown,other,['unknown']
train helsinki invoice eur,travel,"['train', 'helsinki', 'in', '##vo', '##ice', 'eu', '##r']"
netflix subscription invoice,subscription,"['netflix', 'subscription', 'in', '##vo', '##ice']"
internet elisa bill august eur,utilities,"['internet', 'elisa', 'bill', 'august', 'eu', '##r']"
cinema fee,entertainment,"['cinema', 'fee']"
rent april invoice eur,rent,"['rent', 'april', 'in', '##vo', '##ice', 'eu', '##r']"
rent june fee eur,rent,"['rent', 'june', 'fee', 'eu', '##r']"
unknown,travel,['unknown']
hotel paris transfer eur,travel,"['hotel', 'paris', 'transfer', 'eu', '##r']"
heating elisa bill february eur,utilities,"['heating', 'elisa', 'bill', 'february', 'eu', '##r']"
rent february payment,rent,"['rent', 'february', 'payment']"
water elisa bill october eur,utilities,"['water', 'elisa', 'bill', 'october', 'eu', '##r']"
tickets payment,entertainment,"['tickets', 'payment']"
rent august fee eur,rent,"['rent', 'august', 'fee', 'eu', '##r']"
general expense fee eur,other,"['general', 'expense', 'fee', 'eu', '##r']"
local market groceries fee eur,groceries,"['local', 'market', 'groceries', 'fee', 'eu', '##r']"
rent april transfer,rent,"['rent', 'april', 'transfer']"
gas elisa bill july eur,utilities,"['gas', 'elisa', 'bill', 'july', 'eu', '##r']"
rent june invoice,rent,"['rent', 'june', 'in', '##vo', '##ice']"
unknown,groceries,['unknown']
hotel tartu invoice,travel,"['hotel', 'tar', '##tu', 'in', '##vo', '##ice']"
museum transfer,entertainment,"['museum', 'transfer']"
rimi groceries transfer,groceries,"['rim', '##i', 'groceries', 'transfer']"
aldi groceries fee,groceries,"['al', '##di', 'groceries', 'fee']"
prisma groceries invoice,groceries,"['prism', '##a', 'groceries', 'in', '##vo', '##ice']"
internet utilityco bill april,utilities,"['internet', 'utility', '##co', 'bill', 'april']"
rent august fee,rent,"['rent', 'august', 'fee']"
train tartu payment,travel,"['train', 'tar', '##tu', 'payment']"
heating citywater bill august eur,utilities,"['heating', 'city', '##water', 'bill', 'august', 'eu', '##r']"
misc expense invoice eur,other,"['mis', '##c', 'expense', 'in', '##vo', '##ice', 'eu', '##r']"
online store groceries payment eur,groceries,"['online', 'store', 'groceries', 'payment', 'eu', '##r']"
spar groceries invoice eur,groceries,"['spa', '##r', 'groceries', 'in', '##vo', '##ice', 'eu', '##r']"
youtube subscription invoice eur,subscription,"['youtube', 'subscription', 'in', '##vo', '##ice', 'eu', '##r']"
spar groceries transfer,groceries,"['spa', '##r', 'groceries', 'transfer']"
general expense fee eur,other,"['general', 'expense', 'fee', 'eu', '##r']"
museum fee eur,entertainment,"['museum', 'fee', 'eu', '##r']"
general expense bill eur,other,"['general', 'expense', 'bill', 'eu', '##r']"
water elisa bill february,utilities,"['water', 'elisa', 'bill', 'february']"
flight new york transfer,travel,"['flight', 'new', 'york', 'transfer']"
concert transfer,entertainment,"['concert', 'transfer']"
,subscription,[]
internet enefit bill january,utilities,"['internet', 'en', '##ef', '##it', 'bill', 'january']"
flight berlin payment,travel,"['flight', 'berlin', 'payment']"
hotel tallinn bill,travel,"['hotel', 'tallinn', 'bill']"
cinema bill eur,entertainment,"['cinema', 'bill', 'eu', '##r']"
lidl groceries invoice,groceries,"['lid', '##l', 'groceries', 'in', '##vo', '##ice']"
gas elisa bill september,utilities,"['gas', 'elisa', 'bill', 'september']"
unexpected expense bill eur,other,"['unexpected', 'expense', 'bill', 'eu', '##r']"
selver groceries transfer,groceries,"['se', '##lver', 'groceries', 'transfer']"
misc expense bill eur,other,"['mis', '##c', 'expense', 'bill', 'eu', '##r']"
water utilityco bill january,utilities,"['water', 'utility', '##co', 'bill', 'january']"
rent january transfer,rent,"['rent', 'january', 'transfer']"
taxi paris bill,travel,"['taxi', 'paris', 'bill']"
train berlin invoice eur,travel,"['train', 'berlin', 'in', '##vo', '##ice', 'eu', '##r']"
water enefit bill october,utilities,"['water', 'en', '##ef', '##it', 'bill', 'october']"
rent january invoice,rent,"['rent', 'january', 'in', '##vo', '##ice']"
aldi groceries bill eur,groceries,"['al', '##di', 'groceries', 'bill', 'eu', '##r']"
disney subscription transfer eur,subscription,"['disney', 'subscription', 'transfer', 'eu', '##r']"
tickets invoice,entertainment,"['tickets', 'in', '##vo', '##ice']"
unknown,utilities,['unknown']
hotel berlin payment,travel,"['hotel', 'berlin', 'payment']"
hulu subscription payment eur,subscription,"['hu', '##lu', 'subscription', 'payment', 'eu', '##r']"
rimi groceries payment eur,groceries,"['rim', '##i', 'groceries', 'payment', 'eu', '##r']"
cinema invoice,entertainment,"['cinema', 'in', '##vo', '##ice']"
gas elisa bill november eur,utilities,"['gas', 'elisa', 'bill', 'november', 'eu', '##r']"
restaurant bill,entertainment,"['restaurant', 'bill']"
electricity citywater bill june,utilities,"['electricity', 'city', '##water', 'bill', 'june']"
rent april invoice,rent,"['rent', 'april', 'in', '##vo', '##ice']"
unknown,travel,['unknown']
online store groceries transfer eur,groceries,"['online', 'store', 'groceries', 'transfer', 'eu', '##r']"
rent september bill,rent,"['rent', 'september', 'bill']"
hotel helsinki bill,travel,"['hotel', 'helsinki', 'bill']"
online store groceries bill,groceries,"['online', 'store', 'groceries', 'bill']"
apple subscription transfer,subscription,"['apple', 'subscription', 'transfer']"
rent september fee,rent,"['rent', 'september', 'fee']"
youtube subscription bill eur,subscription,"['youtube', 'subscription', 'bill', 'eu', '##r']"
apple subscription bill,subscription,"['apple', 'subscription', 'bill']"
,utilities,[]
unknown,rent,['unknown']
mobile elisa bill january,utilities,"['mobile', 'elisa', 'bill', 'january']"
gas citywater bill february,utilities,"['gas', 'city', '##water', 'bill', 'february']"
hotel london bill,travel,"['hotel', 'london', 'bill']"
unknown,utilities,['unknown']
rent december bill,rent,"['rent', 'december', 'bill']"
adobe subscription invoice,subscription,"['adobe', 'subscription', 'in', '##vo', '##ice']"
hotel riga invoice,travel,"['hotel', 'riga', 'in', '##vo', '##ice']"
misc expense fee,other,"['mis', '##c', 'expense', 'fee']"
tickets invoice,entertainment,"['tickets', 'in', '##vo', '##ice']"
train london payment,travel,"['train', 'london', 'payment']"
rent december payment,rent,"['rent', 'december', 'payment']"
rent february invoice,rent,"['rent', 'february', 'in', '##vo', '##ice']"
rent february bill,rent,"['rent', 'february', 'bill']"
misc expense transfer eur,other,"['mis', '##c', 'expense', 'transfer', 'eu', '##r']"
tickets invoice eur,entertainment,"['tickets', 'in', '##vo', '##ice', 'eu', '##r']"
tickets fee eur,entertainment,"['tickets', 'fee', 'eu', '##r']"
general expense fee,other,"['general', 'expense', 'fee']"
tickets fee eur,entertainment,"['tickets', 'fee', 'eu', '##r']"
google one subscription payment,subscription,"['google', 'one', 'subscription', 'payment']"
rent july transfer eur,rent,"['rent', 'july', 'transfer', 'eu', '##r']"
rent september bill,rent,"['rent', 'september', 'bill']"
selver groceries payment eur,groceries,"['se', '##lver', 'groceries', 'payment', 'eu', '##r']"
electricity utilityco bill december,utilities,"['electricity', 'utility', '##co', 'bill', 'december']"
water telia bill october,utilities,"['water', 'tel', '##ia', 'bill', 'october']"
hulu subscription bill,subscription,"['hu', '##lu', 'subscription', 'bill']"
spotify subscription payment eur,subscription,"['spot', '##ify', 'subscription', 'payment', 'eu', '##r']"
museum payment eur,entertainment,"['museum', 'payment', 'eu', '##r']"
selver groceries payment eur,groceries,"['se', '##lver', 'groceries', 'payment', 'eu', '##r']"
wolt market groceries bill,groceries,"['wo', '##lt', 'market', 'groceries', 'bill']"
amazon prime subscription invoice eur,subscription,"['amazon', 'prime', 'subscription', 'in', '##vo', '##ice', 'eu', '##r']"
adobe subscription bill eur,subscription,"['adobe', 'subscription', 'bill', 'eu', '##r']"
mobile enefit bill january,utilities,"['mobile', 'en', '##ef', '##it', 'bill', 'january']"
electricity utilityco bill september,utilities,"['electricity', 'utility', '##co', 'bill', 'september']"
misc expense invoice eur,other,"['mis', '##c', 'expense', 'in', '##vo', '##ice', 'eu', '##r']"
rent july fee eur,rent,"['rent', 'july', 'fee', 'eu', '##r']"
,other,[]
concert bill eur,entertainment,"['concert', 'bill', 'eu', '##r']"
rent april bill,rent,"['rent', 'april', 'bill']"
taxi paris transfer,travel,"['taxi', 'paris', 'transfer']"
water elisa bill october eur,utilities,"['water', 'elisa', 'bill', 'october', 'eu', '##r']"
google one subscription payment eur,subscription,"['google', 'one', 'subscription', 'payment', 'eu', '##r']"
microsoft subscription payment,subscription,"['microsoft', 'subscription', 'payment']"
adobe subscription transfer,subscription,"['adobe', 'subscription', 'transfer']"
flight new york fee,travel,"['flight', 'new', 'york', 'fee']"
gas telia bill july,utilities,"['gas', 'tel', '##ia', 'bill', 'july']"
restaurant transfer eur,entertainment,"['restaurant', 'transfer', 'eu', '##r']"
rent november transfer,rent,"['rent', 'november', 'transfer']"
taxi riga transfer,travel,"['taxi', 'riga', 'transfer']"
hotel tokyo fee eur,travel,"['hotel', 'tokyo', 'fee', 'eu', '##r']"
rent may bill eur,rent,"['rent', 'may', 'bill', 'eu', '##r']"
heating utilityco bill june eur,utilities,"['heating', 'utility', '##co', 'bill', 'june', 'eu', '##r']"
water elisa bill january eur,utilities,"['water', 'elisa', 'bill', 'january', 'eu', '##r']"
internet citywater bill july,utilities,"['internet', 'city', '##water', 'bill', 'july']"
misc expense transfer eur,other,"['mis', '##c', 'expense', 'transfer', 'eu', '##r']"
,utilities,[]
unexpected expense bill eur,other,"['unexpected', 'expense', 'bill', 'eu', '##r']"
google one subscription fee eur,subscription,"['google', 'one', 'subscription', 'fee', 'eu', '##r']"
rent may transfer,rent,"['rent', 'may', 'transfer']"
concert fee eur,entertainment,"['concert', 'fee', 'eu', '##r']"
unknown,entertainment,['unknown']
rimi groceries payment eur,groceries,"['rim', '##i', 'groceries', 'payment', 'eu', '##r']"
rent october payment eur,rent,"['rent', 'october', 'payment', 'eu', '##r']"
tickets bill eur,entertainment,"['tickets', 'bill', 'eu', '##r']"
general expense transfer eur,other,"['general', 'expense', 'transfer', 'eu', '##r']"
gas enefit bill may,utilities,"['gas', 'en', '##ef', '##it', 'bill', 'may']"
apple subscription transfer eur,subscription,"['apple', 'subscription', 'transfer', 'eu', '##r']"
coop groceries transfer,groceries,"['coop', 'groceries', 'transfer']"
unknown,utilities,['unknown']
rent september payment eur,rent,"['rent', 'september', 'payment', 'eu', '##r']"
selver groceries payment eur,groceries,"['se', '##lver', 'groceries', 'payment', 'eu', '##r']"
taxi tallinn payment,travel,"['taxi', 'tallinn', 'payment']"
unknown,groceries,['unknown']
train london invoice,travel,"['train', 'london', 'in', '##vo', '##ice']"
museum bill eur,entertainment,"['museum', 'bill', 'eu', '##r']"
spotify subscription fee eur,subscription,"['spot', '##ify', 'subscription', 'fee', 'eu', '##r']"
youtube subscription payment eur,subscription,"['youtube', 'subscription', 'payment', 'eu', '##r']"
taxi tallinn invoice,travel,"['taxi', 'tallinn', 'in', '##vo', '##ice']"
rent september invoice,rent,"['rent', 'september', 'in', '##vo', '##ice']"
general expense invoice eur,other,"['general', 'expense', 'in', '##vo', '##ice', 'eu', '##r']"
spotify subscription fee,subscription,"['spot', '##ify', 'subscription', 'fee']"
disney subscription invoice,subscription,"['disney', 'subscription', 'in', '##vo', '##ice']"
,utilities,[]
water enefit bill february eur,utilities,"['water', 'en', '##ef', '##it', 'bill', 'february', 'eu', '##r']"
general expense transfer,other,"['general', 'expense', 'transfer']"
unknown,utilities,['unknown']
train new york payment,travel,"['train', 'new', 'york', 'payment']"
,other,[]
train tartu transfer,travel,"['train', 'tar', '##tu', 'transfer']"
taxi tokyo payment eur,travel,"['taxi', 'tokyo', 'payment', 'eu', '##r']"
local market groceries payment eur,groceries,"['local', 'market', 'groceries', 'payment', 'eu', '##r']"
rent december payment eur,rent,"['rent', 'december', 'payment', 'eu', '##r']"
heating enefit bill september eur,utilities,"['heating', 'en', '##ef', '##it', 'bill', 'september', 'eu', '##r']"
rent october payment eur,rent,"['rent', 'october', 'payment', 'eu', '##r']"
tickets transfer,entertainment,"['tickets', 'transfer']"
adobe subscription invoice eur,subscription,"['adobe', 'subscription', 'in', '##vo', '##ice', 'eu', '##r']"
adobe subscription payment,subscription,"['adobe', 'subscription', 'payment']"
unknown,entertainment,['unknown']
disney subscription fee,subscription,"['disney', 'subscription', 'fee']"
internet telia bill january,utilities,"['internet', 'tel', '##ia', 'bill', 'january']"
rent february transfer eur,rent,"['rent', 'february', 'transfer', 'eu', '##r']"
netflix subscription payment,subscription,"['netflix', 'subscription', 'payment']"
restaurant transfer,entertainment,"['restaurant', 'transfer']"
mobile enefit bill december,utilities,"['mobile', 'en', '##ef', '##it', 'bill', 'december']"
coop groceries payment,groceries,"['coop', 'groceries', 'payment']"
internet elisa bill august,utilities,"['internet', 'elisa', 'bill', 'august']"
internet utilityco bill september,utilities,"['internet', 'utility', '##co', 'bill', 'september']"
taxi tartu transfer eur,travel,"['taxi', 'tar', '##tu', 'transfer', 'eu', '##r']"
rent october bill eur,rent,"['rent', 'october', 'bill', 'eu', '##r']"
,rent,[]
train tokyo invoice eur,travel,"['train', 'tokyo', 'in', '##vo', '##ice', 'eu', '##r']"
rent february bill,rent,"['rent', 'february', 'bill']"
google one subscription fee eur,subscription,"['google', 'one', 'subscription', 'fee', 'eu', '##r']"
rent november payment,rent,"['rent', 'november', 'payment']"
taxi berlin invoice,travel,"['taxi', 'berlin', 'in', '##vo', '##ice']"
unknown,other,['unknown']
museum fee eur,entertainment,"['museum', 'fee', 'eu', '##r']"
flight boston payment eur,travel,"['flight', 'boston', 'payment', 'eu', '##r']"
flight london transfer,travel,"['flight', 'london', 'transfer']"
,entertainment,[]
water enefit bill december,utilities,"['water', 'en', '##ef', '##it', 'bill', 'december']"
hotel london bill,travel,"['hotel', 'london', 'bill']"
maxima groceries bill,groceries,"['maxim', '##a', 'groceries', 'bill']"
amazon prime subscription bill,subscription,"['amazon', 'prime', 'subscription', 'bill']"
general expense bill eur,other,"['general', 'expense', 'bill', 'eu', '##r']"
mobile enefit bill january eur,utilities,"['mobile', 'en', '##ef', '##it', 'bill', 'january', 'eu', '##r']"
hotel boston payment,travel,"['hotel', 'boston', 'payment']"
mobile utilityco bill october,utilities,"['mobile', 'utility', '##co', 'bill', 'october']"
rent march invoice,rent,"['rent', 'march', 'in', '##vo', '##ice']"
unknown,other,['unknown']
google one subscription fee eur,subscription,"['google', 'one', 'subscription', 'fee', 'eu', '##r']"
unknown,other,['unknown']
taxi berlin transfer,travel,"['taxi', 'berlin', 'transfer']"
,utilities,[]
heating telia bill february,utilities,"['heating', 'tel', '##ia', 'bill', 'february']"
flight london invoice eur,travel,"['flight', 'london', 'in', '##vo', '##ice', 'eu', '##r']"
rent october fee eur,rent,"['rent', 'october', 'fee', 'eu', '##r']"
train helsinki transfer eur,travel,"['train', 'helsinki', 'transfer', 'eu', '##r']"
internet citywater bill may,utilities,"['internet', 'city', '##water', 'bill', 'may']"
selver groceries invoice,groceries,"['se', '##lver', 'groceries', 'in', '##vo', '##ice']"
rent april fee eur,rent,"['rent', 'april', 'fee', 'eu', '##r']"
museum invoice eur,entertainment,"['museum', 'in', '##vo', '##ice', 'eu', '##r']"
mobile enefit bill august,utilities,"['mobile', 'en', '##ef', '##it', 'bill', 'august']"
unexpected expense fee,other,"['unexpected', 'expense', 'fee']"
,subscription,[]
microsoft subscription transfer,subscription,"['microsoft', 'subscription', 'transfer']"
wolt market groceries payment,groceries,"['wo', '##lt', 'market', 'groceries', 'payment']"
hotel tartu fee,travel,"['hotel', 'tar', '##tu', 'fee']"
coop groceries transfer eur,groceries,"['coop', 'groceries', 'transfer', 'eu', '##r']"
wolt market groceries transfer eur,groceries,"['wo', '##lt', 'market', 'groceries', 'transfer', 'eu', '##r']"
unexpected expense bill,other,"['unexpected', 'expense', 'bill']"
water enefit bill july,utilities,"['water', 'en', '##ef', '##it', 'bill', 'july']"
electricity telia bill may eur,utilities,"['electricity', 'tel', '##ia', 'bill', 'may', 'eu', '##r']"
general expense fee eur,other,"['general', 'expense', 'fee', 'eu', '##r']"
taxi boston fee,travel,"['taxi', 'boston', 'fee']"
electricity enefit bill march,utilities,"['electricity', 'en', '##ef', '##it', 'bill', 'march']"
unexpected expense invoice eur,other,"['unexpected', 'expense', 'in', '##vo', '##ice', 'eu', '##r']"
flight berlin bill eur,travel,"['flight', 'berlin', 'bill', 'eu', '##r']"
electricity elisa bill june,utilities,"['electricity', 'elisa', 'bill', 'june']"
mobile citywater bill april,utilities,"['mobile', 'city', '##water', 'bill', 'april']"
netflix subscription bill,subscription,"['netflix', 'subscription', 'bill']"
general expense bill eur,other,"['general', 'expense', 'bill', 'eu', '##r']"
apple subscription fee eur,subscription,"['apple', 'subscription', 'fee', 'eu', '##r']"
electricity telia bill october,utilities,"['electricity', 'tel', '##ia', 'bill', 'october']"
misc expense transfer eur,other,"['mis', '##c', 'expense', 'transfer', 'eu', '##r']"
local market groceries fee,groceries,"['local', 'market', 'groceries', 'fee']"
,groceries,[]
misc expense bill eur,other,"['mis', '##c', 'expense', 'bill', 'eu', '##r']"
bolt market groceries transfer,groceries,"['bolt', 'market', 'groceries', 'transfer']"
unknown,groceries,['unknown']
youtube subscription invoice eur,subscription,"['youtube', 'subscription', 'in', '##vo', '##ice', 'eu', '##r']"
tickets fee eur,entertainment,"['tickets', 'fee', 'eu', '##r']"
rent august invoice eur,rent,"['rent', 'august', 'in', '##vo', '##ice', 'eu', '##r']"
flight berlin payment,travel,"['flight', 'berlin', 'payment']"
unknown,subscription,['unknown']
spotify subscription fee,subscription,"['spot', '##ify', 'subscription', 'fee']"
heating utilityco bill july,utilities,"['heating', 'utility', '##co', 'bill', 'july']"
train tokyo transfer,travel,"['train', 'tokyo', 'transfer']"
gas telia bill november,utilities,"['gas', 'tel', '##ia', 'bill', 'november']"
selver groceries fee,groceries,"['se', '##lver', 'groceries', 'fee']"
cinema invoice eur,entertainment,"['cinema', 'in', '##vo', '##ice', 'eu', '##r']"
water elisa bill june,utilities,"['water', 'elisa', 'bill', 'june']"
microsoft subscription fee,subscription,"['microsoft', 'subscription', 'fee']"
electricity elisa bill may,utilities,"['electricity', 'elisa', 'bill', 'may']"
concert invoice,entertainment,"['concert', 'in', '##vo', '##ice']"
restaurant bill,entertainment,"['restaurant', 'bill']"
general expense payment eur,other,"['general', 'expense', 'payment', 'eu', '##r']"
bolt market groceries invoice,groceries,"['bolt', 'market', 'groceries', 'in', '##vo', '##ice']"
mobile elisa bill december eur,utilities,"['mobile', 'elisa', 'bill', 'december', 'eu', '##r']"
flight new york invoice,travel,"['flight', 'new', 'york', 'in', '##vo', '##ice']"
electricity elisa bill december eur,utilities,"['electricity', 'elisa', 'bill', 'december', 'eu', '##r']"
google one subscription invoice eur,subscription,"['google', 'one', 'subscription', 'in', '##vo', '##ice', 'eu', '##r']"
mobile enefit bill june eur,utilities,"['mobile', 'en', '##ef', '##it', 'bill', 'june', 'eu', '##r']"
general expense bill eur,other,"['general', 'expense', 'bill', 'eu', '##r']"
rent march bill eur,rent,"['rent', 'march', 'bill', 'eu', '##r']"
microsoft subscription payment eur,subscription,"['microsoft', 'subscription', 'payment', 'eu', '##r']"
electricity telia bill may eur,utilities,"['electricity', 'tel', '##ia', 'bill', 'may', 'eu', '##r']"
restaurant invoice,entertainment,"['restaurant', 'in', '##vo', '##ice']"
unexpected expense invoice,other,"['unexpected', 'expense', 'in', '##vo', '##ice']"
maxima groceries payment,groceries,"['maxim', '##a', 'groceries', 'payment']"
prisma groceries payment,groceries,"['prism', '##a', 'groceries', 'payment']"
internet citywater bill january,utilities,"['internet', 'city', '##water', 'bill', 'january']"
lidl groceries fee,groceries,"['lid', '##l', 'groceries', 'fee']"
hotel paris fee eur,travel,"['hotel', 'paris', 'fee', 'eu', '##r']"
aldi groceries transfer eur,groceries,"['al', '##di', 'groceries', 'transfer', 'eu', '##r']"
train paris invoice,travel,"['train', 'paris', 'in', '##vo', '##ice']"
spotify subscription payment eur,subscription,"['spot', '##ify', 'subscription', 'payment', 'eu', '##r']"
aldi groceries bill,groceries,"['al', '##di', 'groceries', 'bill']"
unknown,subscription,['unknown']
concert payment eur,entertainment,"['concert', 'payment', 'eu', '##r']"
rent december bill eur,rent,"['rent', 'december', 'bill', 'eu', '##r']"
flight helsinki invoice,travel,"['flight', 'helsinki', 'in', '##vo', '##ice']"
train paris fee eur,travel,"['train', 'paris', 'fee', 'eu', '##r']"
flight tokyo transfer,travel,"['flight', 'tokyo', 'transfer']"
gas telia bill february,utilities,"['gas', 'tel', '##ia', 'bill', 'february']"
online store groceries bill,groceries,"['online', 'store', 'groceries', 'bill']"
electricity enefit bill may eur,utilities,"['electricity', 'en', '##ef', '##it', 'bill', 'may', 'eu', '##r']"
bolt market groceries transfer eur,groceries,"['bolt', 'market', 'groceries', 'transfer', 'eu', '##r']"
heating enefit bill march,utilities,"['heating', 'en', '##ef', '##it', 'bill', 'march']"
bolt market groceries invoice,groceries,"['bolt', 'market', 'groceries', 'in', '##vo', '##ice']"
electricity utilityco bill november,utilities,"['electricity', 'utility', '##co', 'bill', 'november']"
train new york fee,travel,"['train', 'new', 'york', 'fee']"
gas elisa bill july,utilities,"['gas', 'elisa', 'bill', 'july']"
unknown,rent,['unknown']
rent august invoice,rent,"['rent', 'august', 'in', '##vo', '##ice']"
concert bill,entertainment,"['concert', 'bill']"
general expense transfer eur,other,"['general', 'expense', 'transfer', 'eu', '##r']"
mobile telia bill may,utilities,"['mobile', 'tel', '##ia', 'bill', 'may']"
selver groceries fee eur,groceries,"['se', '##lver', 'groceries', 'fee', 'eu', '##r']"
hotel paris bill,travel,"['hotel', 'paris', 'bill']"
concert fee,entertainment,"['concert', 'fee']"
aldi groceries fee,groceries,"['al', '##di', 'groceries', 'fee']"
mobile enefit bill february,utilities,"['mobile', 'en', '##ef', '##it', 'bill', 'february']"
train boston payment eur,travel,"['train', 'boston', 'payment', 'eu', '##r']"
hotel london transfer,travel,"['hotel', 'london', 'transfer']"
,travel,[]
youtube subscription fee,subscription,"['youtube', 'subscription', 'fee']"
taxi tallinn invoice eur,travel,"['taxi', 'tallinn', 'in', '##vo', '##ice', 'eu', '##r']"
water enefit bill february,utilities,"['water', 'en', '##ef', '##it', 'bill', 'february']"
heating telia bill december,utilities,"['heating', 'tel', '##ia', 'bill', 'december']"
